16:05:45.099 [restartedMain] INFO  c.example.runners.RunnersApplication [StartupInfoLogger.java:50] - Starting RunnersApplication using Java 17.0.7 with PID 8619 (/Users/dev_june/Library/Mobile Documents/com~apple~CloudDocs/workspace/Spring-project/build/classes/java/main started by dev_june in /Users/dev_june/Library/Mobile Documents/com~apple~CloudDocs/workspace/Spring-project)
16:15:22.566 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource [HikariDataSource.java:349] - HikariPool-2 - Shutdown initiated...
16:15:22.584 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource [HikariDataSource.java:351] - HikariPool-2 - Shutdown completed.
16:19:10.961 [main] INFO  c.example.runners.RunnersApplication [StartupInfoLogger.java:50] - Starting RunnersApplication using Java 17.0.7 with PID 9490 (/Users/dev_june/Library/Mobile Documents/com~apple~CloudDocs/workspace/Spring-project/build/classes/java/main started by dev_june in /Users/dev_june/Library/Mobile Documents/com~apple~CloudDocs/workspace/Spring-project)
16:19:10.966 [main] INFO  c.example.runners.RunnersApplication [SpringApplication.java:654] - No active profile set, falling back to 1 default profile: "default"
16:19:11.518 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [RepositoryConfigurationDelegate.java:143] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
16:19:11.599 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [RepositoryConfigurationDelegate.java:211] - Finished Spring Data repository scanning in 73 ms. Found 3 JPA repository interfaces.
16:19:12.037 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer [TomcatWebServer.java:111] - Tomcat initialized with port 8080 (http)
16:19:12.043 [main] INFO  o.a.coyote.http11.Http11NioProtocol [DirectJDKLog.java:173] - Initializing ProtocolHandler ["http-nio-8080"]
16:19:12.046 [main] INFO  o.a.catalina.core.StandardService [DirectJDKLog.java:173] - Starting service [Tomcat]
16:19:12.046 [main] INFO  o.a.catalina.core.StandardEngine [DirectJDKLog.java:173] - Starting Servlet engine: [Apache Tomcat/10.1.24]
16:19:12.090 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] [DirectJDKLog.java:173] - Initializing Spring embedded WebApplicationContext
16:19:12.090 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext [ServletWebServerApplicationContext.java:296] - Root WebApplicationContext: initialization completed in 1092 ms
16:19:12.152 [main] ERROR com.zaxxer.hikari.HikariConfig [HikariConfig.java:490] - Failed to load driver class com.mysql.cj.jdbc.Driver from HikariConfig class classloader jdk.internal.loader.ClassLoaders$AppClassLoader@251a69d7
16:19:12.153 [main] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext [AbstractApplicationContext.java:632] - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'entityManagerFactory' defined in class path resource [org/springframework/boot/autoconfigure/orm/jpa/HibernateJpaConfiguration.class]: Failed to initialize dependency 'dataSourceScriptDatabaseInitializer' of LoadTimeWeaverAware bean 'entityManagerFactory': Error creating bean with name 'dataSourceScriptDatabaseInitializer' defined in class path resource [org/springframework/boot/autoconfigure/sql/init/DataSourceInitializationConfiguration.class]: Unsatisfied dependency expressed through method 'dataSourceScriptDatabaseInitializer' parameter 0: Error creating bean with name 'dataSource' defined in class path resource [org/springframework/boot/autoconfigure/jdbc/DataSourceConfiguration$Hikari.class]: Failed to instantiate [com.zaxxer.hikari.HikariDataSource]: Factory method 'dataSource' threw exception with message: Failed to load driver class com.mysql.cj.jdbc.Driver in either of HikariConfig class loader or Thread context classloader
16:19:12.156 [main] INFO  o.a.catalina.core.StandardService [DirectJDKLog.java:173] - Stopping service [Tomcat]
16:19:12.169 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLogger [ConditionEvaluationReportLogger.java:82] - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
16:19:12.179 [main] ERROR o.s.boot.SpringApplication [SpringApplication.java:859] - Application run failed
org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'entityManagerFactory' defined in class path resource [org/springframework/boot/autoconfigure/orm/jpa/HibernateJpaConfiguration.class]: Failed to initialize dependency 'dataSourceScriptDatabaseInitializer' of LoadTimeWeaverAware bean 'entityManagerFactory': Error creating bean with name 'dataSourceScriptDatabaseInitializer' defined in class path resource [org/springframework/boot/autoconfigure/sql/init/DataSourceInitializationConfiguration.class]: Unsatisfied dependency expressed through method 'dataSourceScriptDatabaseInitializer' parameter 0: Error creating bean with name 'dataSource' defined in class path resource [org/springframework/boot/autoconfigure/jdbc/DataSourceConfiguration$Hikari.class]: Failed to instantiate [com.zaxxer.hikari.HikariDataSource]: Factory method 'dataSource' threw exception with message: Failed to load driver class com.mysql.cj.jdbc.Driver in either of HikariConfig class loader or Thread context classloader
	at org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:326)
	at org.springframework.beans.factory.support.AbstractBeanFactory.getBean(AbstractBeanFactory.java:205)
	at org.springframework.context.support.AbstractApplicationContext.finishBeanFactoryInitialization(AbstractApplicationContext.java:952)
	at org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:624)
	at org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.refresh(ServletWebServerApplicationContext.java:146)
	at org.springframework.boot.SpringApplication.refresh(SpringApplication.java:754)
	at org.springframework.boot.SpringApplication.refreshContext(SpringApplication.java:456)
	at org.springframework.boot.SpringApplication.run(SpringApplication.java:335)
	at org.springframework.boot.SpringApplication.run(SpringApplication.java:1363)
	at org.springframework.boot.SpringApplication.run(SpringApplication.java:1352)
	at com.example.runners.RunnersApplication.main(RunnersApplication.java:10)
Caused by: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'dataSourceScriptDatabaseInitializer' defined in class path resource [org/springframework/boot/autoconfigure/sql/init/DataSourceInitializationConfiguration.class]: Unsatisfied dependency expressed through method 'dataSourceScriptDatabaseInitializer' parameter 0: Error creating bean with name 'dataSource' defined in class path resource [org/springframework/boot/autoconfigure/jdbc/DataSourceConfiguration$Hikari.class]: Failed to instantiate [com.zaxxer.hikari.HikariDataSource]: Factory method 'dataSource' threw exception with message: Failed to load driver class com.mysql.cj.jdbc.Driver in either of HikariConfig class loader or Thread context classloader
	at org.springframework.beans.factory.support.ConstructorResolver.createArgumentArray(ConstructorResolver.java:795)
	at org.springframework.beans.factory.support.ConstructorResolver.instantiateUsingFactoryMethod(ConstructorResolver.java:542)
	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.instantiateUsingFactoryMethod(AbstractAutowireCapableBeanFactory.java:1337)
	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBeanInstance(AbstractAutowireCapableBeanFactory.java:1167)
	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.doCreateBean(AbstractAutowireCapableBeanFactory.java:562)
	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBean(AbstractAutowireCapableBeanFactory.java:522)
	at org.springframework.beans.factory.support.AbstractBeanFactory.lambda$doGetBean$0(AbstractBeanFactory.java:337)
	at org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:234)
	at org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:335)
	at org.springframework.beans.factory.support.AbstractBeanFactory.getBean(AbstractBeanFactory.java:200)
	at org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:313)
	... 10 common frames omitted
Caused by: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'dataSource' defined in class path resource [org/springframework/boot/autoconfigure/jdbc/DataSourceConfiguration$Hikari.class]: Failed to instantiate [com.zaxxer.hikari.HikariDataSource]: Factory method 'dataSource' threw exception with message: Failed to load driver class com.mysql.cj.jdbc.Driver in either of HikariConfig class loader or Thread context classloader
	at org.springframework.beans.factory.support.ConstructorResolver.instantiate(ConstructorResolver.java:648)
	at org.springframework.beans.factory.support.ConstructorResolver.instantiateUsingFactoryMethod(ConstructorResolver.java:636)
	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.instantiateUsingFactoryMethod(AbstractAutowireCapableBeanFactory.java:1337)
	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBeanInstance(AbstractAutowireCapableBeanFactory.java:1167)
	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.doCreateBean(AbstractAutowireCapableBeanFactory.java:562)
	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBean(AbstractAutowireCapableBeanFactory.java:522)
	at org.springframework.beans.factory.support.AbstractBeanFactory.lambda$doGetBean$0(AbstractBeanFactory.java:337)
	at org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:234)
	at org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:335)
	at org.springframework.beans.factory.support.AbstractBeanFactory.getBean(AbstractBeanFactory.java:200)
	at org.springframework.beans.factory.config.DependencyDescriptor.resolveCandidate(DependencyDescriptor.java:254)
	at org.springframework.beans.factory.support.DefaultListableBeanFactory.doResolveDependency(DefaultListableBeanFactory.java:1443)
	at org.springframework.beans.factory.support.DefaultListableBeanFactory.resolveDependency(DefaultListableBeanFactory.java:1353)
	at org.springframework.beans.factory.support.ConstructorResolver.resolveAutowiredArgument(ConstructorResolver.java:904)
	at org.springframework.beans.factory.support.ConstructorResolver.createArgumentArray(ConstructorResolver.java:782)
	... 20 common frames omitted
Caused by: org.springframework.beans.BeanInstantiationException: Failed to instantiate [com.zaxxer.hikari.HikariDataSource]: Factory method 'dataSource' threw exception with message: Failed to load driver class com.mysql.cj.jdbc.Driver in either of HikariConfig class loader or Thread context classloader
	at org.springframework.beans.factory.support.SimpleInstantiationStrategy.instantiate(SimpleInstantiationStrategy.java:177)
	at org.springframework.beans.factory.support.ConstructorResolver.instantiate(ConstructorResolver.java:644)
	... 34 common frames omitted
Caused by: java.lang.RuntimeException: Failed to load driver class com.mysql.cj.jdbc.Driver in either of HikariConfig class loader or Thread context classloader
	at com.zaxxer.hikari.HikariConfig.setDriverClassName(HikariConfig.java:494)
	at org.springframework.boot.jdbc.DataSourceBuilder$MappedDataSourceProperty.set(DataSourceBuilder.java:479)
	at org.springframework.boot.jdbc.DataSourceBuilder$MappedDataSourceProperties.set(DataSourceBuilder.java:373)
	at org.springframework.boot.jdbc.DataSourceBuilder.build(DataSourceBuilder.java:183)
	at org.springframework.boot.autoconfigure.jdbc.DataSourceConfiguration.createDataSource(DataSourceConfiguration.java:59)
	at org.springframework.boot.autoconfigure.jdbc.DataSourceConfiguration$Hikari.dataSource(DataSourceConfiguration.java:117)
	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:77)
	at java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.base/java.lang.reflect.Method.invoke(Method.java:568)
	at org.springframework.beans.factory.support.SimpleInstantiationStrategy.instantiate(SimpleInstantiationStrategy.java:140)
	... 35 common frames omitted
16:20:28.940 [restartedMain] INFO  c.example.runners.RunnersApplication [StartupInfoLogger.java:50] - Starting RunnersApplication using Java 17.0.7 with PID 9517 (/Users/dev_june/Library/Mobile Documents/com~apple~CloudDocs/workspace/Spring-project/build/classes/java/main started by dev_june in /Users/dev_june/Library/Mobile Documents/com~apple~CloudDocs/workspace/Spring-project)
16:20:28.941 [restartedMain] INFO  c.example.runners.RunnersApplication [SpringApplication.java:654] - No active profile set, falling back to 1 default profile: "default"
16:20:28.963 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor [DeferredLog.java:252] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
16:20:28.963 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor [DeferredLog.java:252] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
16:20:29.381 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [RepositoryConfigurationDelegate.java:143] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
16:20:29.414 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [RepositoryConfigurationDelegate.java:211] - Finished Spring Data repository scanning in 28 ms. Found 3 JPA repository interfaces.
16:20:29.708 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer [TomcatWebServer.java:111] - Tomcat initialized with port 8080 (http)
16:20:29.713 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol [DirectJDKLog.java:173] - Initializing ProtocolHandler ["http-nio-8080"]
16:20:29.714 [restartedMain] INFO  o.a.catalina.core.StandardService [DirectJDKLog.java:173] - Starting service [Tomcat]
16:20:29.714 [restartedMain] INFO  o.a.catalina.core.StandardEngine [DirectJDKLog.java:173] - Starting Servlet engine: [Apache Tomcat/10.1.24]
16:20:29.739 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] [DirectJDKLog.java:173] - Initializing Spring embedded WebApplicationContext
16:20:29.740 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext [ServletWebServerApplicationContext.java:296] - Root WebApplicationContext: initialization completed in 777 ms
16:20:29.826 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper [LogHelper.java:31] - HHH000204: Processing PersistenceUnitInfo [name: default]
16:20:29.853 [restartedMain] INFO  org.hibernate.Version [Version.java:44] - HHH000412: Hibernate ORM core version 6.5.2.Final
16:20:29.869 [restartedMain] INFO  o.h.c.i.RegionFactoryInitiator [RegionFactoryInitiator.java:50] - HHH000026: Second-level cache disabled
16:20:30.035 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo [SpringPersistenceUnitInfo.java:87] - No LoadTimeWeaver setup: ignoring JPA class transformer
16:20:30.049 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource [HikariDataSource.java:109] - HikariPool-1 - Starting...
16:20:30.215 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool [HikariPool.java:554] - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@3590c9c0
16:20:30.216 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource [HikariDataSource.java:122] - HikariPool-1 - Start completed.
16:20:30.263 [restartedMain] WARN  org.hibernate.orm.deprecation [DialectFactoryImpl.java:153] - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
16:20:30.801 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator [JtaPlatformInitiator.java:59] - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
16:20:30.871 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean [AbstractEntityManagerFactoryBean.java:437] - Initialized JPA EntityManagerFactory for persistence unit 'default'
16:20:31.210 [restartedMain] INFO  o.s.d.j.r.query.QueryEnhancerFactory [QueryEnhancerFactory.java:49] - Hibernate is in classpath; If applicable, HQL parser will be used.
16:20:31.472 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration [JpaBaseConfiguration.java:236] - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
16:20:31.485 [restartedMain] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer [InitializeUserDetailsBeanManagerConfigurer.java:113] - Global AuthenticationManager configured with UserDetailsService bean with name userService
16:20:31.637 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain [DefaultSecurityFilterChain.java:54] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@459baf90, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4c944c12, org.springframework.security.web.context.SecurityContextHolderFilter@5f669933, org.springframework.security.web.header.HeaderWriterFilter@12e78e4b, org.springframework.web.filter.CorsFilter@5479f830, org.springframework.security.web.authentication.logout.LogoutFilter@49cad914, com.example.runners.filters.JWTFilter@7ad5288f, com.example.runners.filters.LoginFilter@62aaff6a, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@45df8733, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@47eca48b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@cb0dbf1, org.springframework.security.web.session.SessionManagementFilter@69dddb50, org.springframework.security.web.access.ExceptionTranslationFilter@3511924a, org.springframework.security.web.access.intercept.AuthorizationFilter@49680ddc]
16:20:31.783 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer [OptionalLiveReloadServer.java:59] - LiveReload server is running on port 35729
16:20:31.798 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol [DirectJDKLog.java:173] - Starting ProtocolHandler ["http-nio-8080"]
16:20:31.806 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer [TomcatWebServer.java:243] - Tomcat started on port 8080 (http) with context path '/'
16:20:31.814 [restartedMain] INFO  c.example.runners.RunnersApplication [StartupInfoLogger.java:56] - Started RunnersApplication in 3.112 seconds (process running for 3.715)
16:20:37.521 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] [DirectJDKLog.java:173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
16:20:37.521 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet [FrameworkServlet.java:532] - Initializing Servlet 'dispatcherServlet'
16:20:37.522 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet [FrameworkServlet.java:554] - Completed initialization in 1 ms
16:20:37.534 [http-nio-8080-exec-2] INFO  c.example.runners.filters.JWTFilter [JWTFilter.java:40] - authorization:Bearer eyJhbGciOiJIUzI1NiJ9.eyJ1c2VybmFtZSI6InRoZWRldi5qdW55b3VuZ0BnbWFpbC5jb20iLCJyb2xlIjoiVVNFUiIsImlhdCI6MTcxNzY1NDk5MCwiZXhwIjoxNzE3NjU4NTkwfQ.wWyidV7Z1BE_EOuUdcb8f6AfpP_SK3CwUqkn2y731JU
16:20:37.575 [http-nio-8080-exec-2] INFO  c.example.runners.filters.JWTFilter [JWTFilter.java:63] - username:thedev.junyoung@gmail.com
16:20:37.575 [http-nio-8080-exec-2] INFO  c.example.runners.filters.JWTFilter [JWTFilter.java:64] - role:USER
16:20:37.576 [http-nio-8080-exec-2] INFO  c.example.runners.filters.JWTFilter [JWTFilter.java:75] - SecurityContextHolder.getContext().getAuthentication()UsernamePasswordAuthenticationToken [Principal=com.example.runners.dto.user.RunnerUserDetails@4ba4e58, Credentials=[PROTECTED], Authenticated=true, Details=null, Granted Authorities=[com.example.runners.dto.user.RunnerUserDetails$1@251dd4f5]]
16:20:37.587 [http-nio-8080-exec-2] INFO  c.e.r.dto.user.RunnerUserDetails [RunnerUserDetails.java:42] - user.getEmail()thedev.junyoung@gmail.com
16:20:37.597 [http-nio-8080-exec-2] INFO  c.e.r.dto.user.RunnerUserDetails [RunnerUserDetails.java:42] - user.getEmail()thedev.junyoung@gmail.com
